X,Y,Z,t
0.723,-1.384,9.591,5
0.748,-1.405,9.572,5
0.804,-1.402,9.546,5
0.833,-1.403,9.564,5
0.806,-1.449,9.515,5
0.818,-1.407,9.608,5
0.769,-1.439,9.561,5
0.789,-1.453,9.533,5
0.814,-1.475,9.52,5
0.762,-1.438,9.539,5
0.73,-1.439,9.552,5
0.731,-1.461,9.549,5
0.74,-1.458,9.527,5
0.77,-1.449,9.565,4
0.787,-1.435,9.525,5
0.764,-1.41,9.558,5
0.756,-1.397,9.548,5
0.783,-1.389,9.509,5
0.787,-1.441,9.541,5
0.809,-1.432,9.544,5
0.799,-1.423,9.531,5
0.767,-1.39,9.512,5
0.719,-1.4,9.544,5
0.714,-1.442,9.561,5
0.744,-1.433,9.565,5
0.726,-1.436,9.553,5
0.715,-1.421,9.575,5
0.745,-1.412,9.583,5
0.735,-1.389,9.585,5
0.787,-1.398,9.543,5
0.802,-1.396,9.554,5
0.791,-1.386,9.549,4
0.789,-1.361,9.539,5
0.793,-1.399,9.567,5
0.81,-1.401,9.555,5
0.775,-1.406,9.533,5
0.775,-1.384,9.578,5
0.751,-1.403,9.563,5
0.757,-1.416,9.547,5
0.797,-1.434,9.565,5
0.787,-1.461,9.545,5
0.78,-1.434,9.577,5
0.741,-1.407,9.571,5
0.768,-1.406,9.551,5
0.799,-1.376,9.593,5
0.84,-1.401,9.539,5
0.842,-1.446,9.519,5
0.797,-1.431,9.567,5
0.781,-1.401,9.541,5
0.783,-1.436,9.519,4
0.792,-1.431,9.531,5
0.76,-1.417,9.525,5
0.717,-1.416,9.572,5
0.702,-1.42,9.552,5
0.723,-1.426,9.531,5
0.738,-1.436,9.55,5
0.762,-1.413,9.574,5
0.75,-1.39,9.579,5
0.772,-1.364,9.571,5
0.774,-1.411,9.579,5
0.813,-1.391,9.532,5
0.823,-1.399,9.544,5
0.782,-1.379,9.512,5
0.735,-1.358,9.561,5
0.738,-1.389,9.595,5
0.751,-1.415,9.53,5
0.764,-1.433,9.535,5
0.745,-1.436,9.526,4
0.751,-1.421,9.555,5
0.754,-1.414,9.574,5
0.79,-1.398,9.563,5
0.84,-1.429,9.552,5
0.826,-1.445,9.56,5
0.794,-1.411,9.57,5
0.801,-1.4,9.534,5
0.816,-1.409,9.558,5
0.81,-1.42,9.582,5
0.804,-1.44,9.581,5
0.789,-1.421,9.566,5
0.739,-1.406,9.553,5
0.734,-1.453,9.556,5
0.742,-1.44,9.505,5
0.779,-1.458,9.541,5
0.773,-1.424,9.587,5
0.742,-1.424,9.63,4
0.756,-1.409,9.576,5
0.784,-1.419,9.538,5
0.805,-1.42,9.521,5
0.796,-1.436,9.547,5
0.805,-1.412,9.565,5
0.795,-1.391,9.612,5
0.767,-1.383,9.538,5
0.791,-1.411,9.487,5
0.757,-1.403,9.562,5
0.732,-1.422,9.57,5
0.697,-1.404,9.563,5
0.712,-1.421,9.563,5
0.748,-1.425,9.544,5
0.799,-1.435,9.588,5
0.762,-1.41,9.592,5
0.762,-1.386,9.565,5
0.759,-1.403,9.532,5
0.813,-1.409,9.488,4
0.834,-1.429,9.544,5
0.808,-1.416,9.541,5
0.771,-1.397,9.594,5
0.723,-1.397,9.584,5
0.756,-1.413,9.536,5
0.759,-1.452,9.514,5
0.761,-1.455,9.571,5
0.749,-1.441,9.56,5
0.724,-1.406,9.571,5
0.765,-1.4,9.576,5
0.805,-1.439,9.549,5
0.832,-1.4,9.569,5
0.817,-1.414,9.567,5
0.795,-1.392,9.548,5
0.789,-1.427,9.549,5
0.81,-1.432,9.51,5
0.789,-1.415,9.538,5
0.759,-1.401,9.568,4
0.734,-1.384,9.566,5
0.748,-1.399,9.549,5
0.765,-1.429,9.53,5
0.762,-1.416,9.548,5
0.775,-1.427,9.617,5
0.745,-1.396,9.641,5
0.738,-1.401,9.567,5
0.755,-1.407,9.553,5
0.778,-1.421,9.533,5
0.809,-1.448,9.554,5
0.794,-1.425,9.572,5
0.775,-1.377,9.593,5
0.754,-1.386,9.526,5
0.737,-1.436,9.543,5
0.732,-1.432,9.529,5
0.719,-1.444,9.57,5
0.723,-1.422,9.565,5
0.729,-1.462,9.568,4
0.753,-1.449,9.533,5
0.779,-1.438,9.526,5
0.77,-1.408,9.533,5
0.792,-1.381,9.55,5
0.793,-1.37,9.544,5
0.807,-1.409,9.553,5
0.831,-1.429,9.565,5
0.776,-1.408,9.576,5
0.785,-1.399,9.633,5
0.759,-1.417,9.529,5
0.779,-1.454,9.531,5
0.803,-1.486,9.531,5
0.781,-1.451,9.557,5
0.767,-1.442,9.602,5
0.754,-1.411,9.559,5
0.789,-1.442,9.536,5
0.818,-1.444,9.507,5
0.83,-1.399,9.507,4
0.804,-1.378,9.556,5
0.785,-1.367,9.541,5
0.802,-1.401,9.579,5
0.816,-1.412,9.554,5
0.788,-1.42,9.579,5
0.769,-1.414,9.583,5
0.72,-1.384,9.576,5
0.719,-1.374,9.54,5
0.728,-1.397,9.515,5
0.744,-1.42,9.542,5
0.739,-1.448,9.612,5
0.74,-1.418,9.586,5
0.764,-1.397,9.612,5
0.766,-1.398,9.543,5
0.788,-1.414,9.572,5
0.8,-1.415,9.556,5
0.771,-1.398,9.558,4
0.759,-1.391,9.562,5
0.759,-1.365,9.526,5
0.789,-1.432,9.538,5
0.767,-1.427,9.554,5
0.717,-1.435,9.574,5
0.733,-1.425,9.528,5
0.751,-1.437,9.59,5
0.771,-1.442,9.548,5
0.787,-1.432,9.563,5
0.778,-1.399,9.552,5
0.785,-1.379,9.547,5
0.798,-1.388,9.576,5
0.841,-1.427,9.591,5
0.829,-1.435,9.55,5
0.835,-1.421,9.543,5
0.795,-1.411,9.607,5
0.789,-1.427,9.515,5
0.776,-1.43,9.493,4
0.78,-1.419,9.534,5
0.779,-1.445,9.57,5
0.761,-1.405,9.58,5
0.768,-1.382,9.589,5
0.77,-1.383,9.56,5
